Name,City,State,Total Patients,Mortality %,Complication %,Start Date,End Date
Skiff Medical Center,Newton,Iowa,,,,,
Boone County Hospital,Boone,Iowa,,,,,
Mercy Medical Center-Clinton,Clinton,Iowa,,,,,
Pocahontas Community Hospital,Pocahontas,Iowa,,,,,
Franklin General Hospital,Hampton,Iowa,,,,,
Palo Alto County Health System,Emmetsburg,Iowa,,,,,
"Genesis Medical Center, DeWitt",De Witt,Iowa,,,,,
Grinnell Regional Medical Center,Grinnell,Iowa,,,,,
Wayne County Hospital,Corydon,Iowa,,,,,
Floyd County Medical Center,Charles City,Iowa,,,,,
Greater Regional Medical Center,Creston,Iowa,,,,,
Pella Regional Health Center,Pella,Iowa,,,,,
Mahaska Health Partnership,Oskaloosa,Iowa,,,,,
Iowa Specialty Hospital-Clarion,Clarion,Iowa,,,,,
Buena Vista Regional Medical Center,Storm Lake,Iowa,,,,,
Burgess Health Center,Onawa,Iowa,,,,,
UnityPoint Health - St. Luke's Hospital,Cedar Rapids,Iowa,,,,,
UnityPoint Health - Jones Regional Medical Center,Anamosa,Iowa,,,,,
Van Buren County Hospital,Keosauqua,Iowa,,,,,
Floyd Valley Hospital,Le Mars,Iowa,,,,,
Knoxville Hospital & Clinics,Knoxville,Iowa,,,,,
St. Anthony Regional Hospital,Carroll,Iowa,,,,,
Genesis Medical Center-Davenport,Davenport,Iowa,,,,,
Osceola Community Hospital,Sibley,Iowa,,,,,
Manning Regional Healthcare Center,Manning,Iowa,,,,,
Iowa Specialty Hospital-Belmond,Belmond,Iowa,,,,,
UnityPoint Health - Iowa Methodist Medical Center,Des Moines,Iowa,77,97,88,July 2011,June 2014
Mercy Hospital of Franciscan Sisters,Oelwein,Iowa,,,,,
Jefferson County Health Center,Fairfield,Iowa,,,,,
"Marengo Memorial Hospital, UnityPoint Health",Marengo,Iowa,,,,,
Shenandoah Medical Center,Shenandoah,Iowa,,,,,
Hancock County Health System,Britt,Iowa,,,,,
Mary Greeley Medical Center,Ames,Iowa,,,,,
Dallas County Hospital,Perry,Iowa,,,,,
Stewart Memorial Community Hospital,Lake City,Iowa,,,,,
CHI Health Mercy Corning,Corning,Iowa,,,,,
Keokuk Area Hospital,Keokuk,Iowa,,,,,
Clarinda Regional Health Center,Clarinda,Iowa,,,,,
Methodist Jennie Edmundson Hospital,Council Bluffs,Iowa,,,,,
Sioux Center Health,Sioux Center,Iowa,,,,,
Regional Medical Center,Manchester,Iowa,,,,,
Ottumwa Regional Health Center,Ottumwa,Iowa,,,,,
Mercy Medical Center-Sioux City,Sioux City,Iowa,,,,,
Horn Memorial Hospital,Ida Grove,Iowa,,,,,
CHI Health Mercy Council Bluffs,Council Bluffs,Iowa,,,,,
UnityPoint Health-Iowa Lutheran Hospital,Des Moines,Iowa,,,,,
Kossuth Regional Health Center,Algona,Iowa,,,,,
Sanford Sheldon Medical Center,Sheldon,Iowa,,,,,
Orange City Area Health System,Orange City,Iowa,,,,,
Clarke County Hospital,Osceola,Iowa,,,,,
Mercy Medical Center-New Hampton,New Hampton,Iowa,,,,,
Washington County Hospital and Clinics,Washington,Iowa,,,,,
Central Community Hospital,Elkader,Iowa,,,,,
Palmer Lutheran Health Center,West Union,Iowa,,,,,
Decatur County Hospital,Leon,Iowa,,,,,
Mitchell County Regional Health Center,Osage,Iowa,,,,,
George C Grape Community Hospital,Hamburg,Iowa,,,,,
Spencer Hospital,Spencer,Iowa,,,,,
Myrtue Medical Center,Harlan,Iowa,,,,,
Mercy Iowa City,Iowa City,Iowa,58,98,89,July 2011,June 2014
Community Memorial Hospital,Sumner,Iowa,,,,,
Veterans Memorial Hospital,Waukon,Iowa,,,,,
Winneshiek Medical Center,Decorah,Iowa,,,,,
UnityPoint Health - Trinity Muscatine,Muscatine,Iowa,,,,,
Audubon County Memorial Hospital,Audubon,Iowa,,,,,
Greene County Medical Center,Jefferson,Iowa,,,,,
Mercy Medical Center-North Iowa,Mason City,Iowa,45,98,83,July 2011,June 2014
Van Diest Medical Center,Webster City,Iowa,,,,,
Crawford County Memorial Hospital,Denison,Iowa,,,,,
Great River Medical Center,West Burlington,Iowa,,,,,
Grundy County Memorial Hospital,Grundy Center,Iowa,,,,,
Sanford Rock Rapids Medical Center,Rock Rapids,Iowa,,,,,
Cherokee Regional Medical Center,Cherokee,Iowa,,,,,
Loring Hospital,Sac City,Iowa,,,,,
Monroe County Hospital and Clinics,Albia,Iowa,,,,,
Mercy Medical Center-Centerville,Centerville,Iowa,,,,,
Virginia Gay Hospital,Vinton,Iowa,,,,,
Covenant Medical Center,Waterloo,Iowa,,,,,
Mercy Medical Center-Cedar Rapids,Cedar Rapids,Iowa,,,,,
Fort Madison Community Hospital,Fort Madison,Iowa,,,,,
Jackson County Regional Health Center,Maquoketa,Iowa,,,,,
Ringgold County Hospital,Mount Ayr,Iowa,,,,,
Waverly Health Center,Waverly,Iowa,,,,,
Henry County Health Center,Mount Pleasant,Iowa,,,,,
UnityPoint Health - Trinity Bettendorf,Bettendorf,Iowa,,,,,
Story County Medical Center,Nevada,Iowa,,,,,
UnityPoint Health - Allen Hospital,Waterloo,Iowa,29,98,85,July 2011,June 2014
Sartori Memorial Hospital,Cedar Falls,Iowa,,,,,
Mercy Medical Center-Des Moines,Des Moines,Iowa,187,97,78,July 2011,June 2014
Guttenberg Municipal Hospital,Guttenberg,Iowa,,,,,
CHI Health Missouri Valley,Missouri Valley,Iowa,,,,,
Hansen Family Hospital,Iowa Falls,Iowa,,,,,
UnityPoint Health - Finley Hospital,Dubuque,Iowa,,,,,
Lakes Regional Healthcare,Spirit Lake,Iowa,,,,,
University of Iowa Hospitals and Clinics,Iowa City,Iowa,,,,,
Broadlawns Medical Center,Des Moines,Iowa,,,,,
Baum Harmon Mercy Hospital,Primghar,Iowa,,,,,
Avera Holy Family Hospital,Estherville,Iowa,,,,,
Regional Health Services of Howard County,Cresco,Iowa,,,,,
Central Iowa Healthcare,Marshalltown,Iowa,,,,,
Hawarden Regional Healthcare,Hawarden,Iowa,,,,,
UnityPoint Health - St. Luke's,Sioux City,Iowa,,,,,
Hegg Memorial Health Center Avera,Rock Valley,Iowa,,,,,
St. Alexius Hospital - Broadway Campus,Saint Louis,Missouri,,,,,
Mercy Hospital Jefferson,Crystal City,Missouri,,,,,
Barnes-Jewish St. Peters Hospital,Saint Peters,Missouri,,,,,
Mercy Hospital Washington,Washington,Missouri,,,,,
Saint Francis Medical Center,Cape Girardeau,Missouri,59,98,88,July 2011,June 2014
Des Peres Hospital,Saint Louis,Missouri,,,,,
Cass Regional Medical Center,Harrisonville,Missouri,,,,,
Hannibal Regional Hospital,Hannibal,Missouri,,,,,
Fulton Medical Center,Fulton,Missouri,,,,,
Washington County Memorial Hospital,Potosi,Missouri,,,,,
Barton County Memorial Hospital,Lamar,Missouri,,,,,
Research Medical Center,Kansas City,Missouri,,,,,
Truman Medical Center-Lakewood,Kansas City,Missouri,,,,,
Mercy Hospital Springfield,Springfield,Missouri,,,,,
Community Hospital-Fairfax,Fairfax,Missouri,,,,,
Barnes-Jewish West County Hospital,Saint Louis,Missouri,,,,,
SSM DePaul Health Center,Bridgeton,Missouri,,,,,
Moberly Regional Medical Center,Moberly,Missouri,,,,,
Nevada Regional Medical Center,Nevada,Missouri,,,,,
Saint Luke's North Hospital - Barry Road,Kansas City,Missouri,,,,,
SSM St. Mary's Health Center,Saint Louis,Missouri,,,,,
Phelps County Regional Medical Center,Rolla,Missouri,,,,,
Centerpoint Medical Center,Independence,Missouri,,,,,
Belton Regional Medical Center,Belton,Missouri,,,,,
Wright Memorial Hospital,Trenton,Missouri,,,,,
Ozarks Medical Center,West Plains,Missouri,,,,,
Western Missouri Medical Center,Warrensburg,Missouri,,,,,
Putnam County Memorial Hospital,Unionville,Missouri,,,,,
Missouri Baptist Medical Center,Saint Louis,Missouri,217,97,90,July 2011,June 2014
Parkland Health Center - Weber Road,Farmington,Missouri,,,,,
Southeast Health Center of Stoddard County,Dexter,Missouri,,,,,
Texas County Memorial Hospital,Houston,Missouri,,,,,
Mercy Hospital Carthage,Carthage,Missouri,,,,,
SSM St. Joseph Health Center,Saint Charles,Missouri,,,,,
Mercy St. Francis Hospital,Mountain View,Missouri,,,,,
Southeast Health Center of Ripley County,Doniphan,Missouri,,,,,
Cox Monett,Monett,Missouri,,,,,
St. Luke's Hospital,Chesterfield,Missouri,,,,,
Ozarks Community Hospital,Springfield,Missouri,,,,,
Missouri Delta Medical Center,Sikeston,Missouri,,,,,
North Kansas City Hospital,North Kansas City,Missouri,,,,,
Mercy Hospital Lebanon,Lebanon,Missouri,,,,,
Fitzgibbon Hospital,Marshall,Missouri,,,,,
Mercy Hospital St. Louis,Saint Louis,Missouri,,,,,
SSM Health St. Mary's Hospital - Jefferson City,Jefferson City,Missouri,,,,,
Northwest Medical Center,Albany,Missouri,,,,,
Freeman Hospital West,Joplin,Missouri,75,98,88,July 2011,June 2014
Salem Memorial District Hospital,Salem,Missouri,,,,,
Mercy Hospital Lincoln,Troy,Missouri,,,,,
Cox Medical Center Branson,Branson,Missouri,,,,,
Lafayette Regional Health Center,Lexington,Missouri,,,,,
Pemiscot Memorial Health System,Hayti,Missouri,,,,,
Bothwell Regional Health Center,Sedalia,Missouri,,,,,
Scotland County Hospital,Memphis,Missouri,,,,,
Twin Rivers Regional Medical Center,Kennett,Missouri,,,,,
Cameron Regional Medical Center,Cameron,Missouri,,,,,
St. Mary's Medical Center,Blue Springs,Missouri,,,,,
Golden Valley Memorial Healthcare,Clinton,Missouri,,,,,
Pike County Memorial Hospital,Louisiana,Missouri,,,,,
Truman Medical Center-Hospital Hill,Kansas City,Missouri,,,,,
St. Joseph Medical Center,Kansas City,Missouri,,,,,
Ray County Memorial Hospital,Richmond,Missouri,,,,,
Mosaic Life Care at St. Joseph,Saint Joseph,Missouri,,,,,
University of Missouri Hospitals and Clinics,Columbia,Missouri,,,,,
Progress West Hospital,O'Fallon,Missouri,,,,,
Cox Medical Centers,Springfield,Missouri,,,,,
I-70 Community Hospital,Sweet Springs,Missouri,,,,,
Lee's Summit Medical Center,Lee's Summit,Missouri,,,,,
Parkland Health Center - Liberty Street,Farmington,Missouri,,,,,
General John J. Pershing Memorial Hospital,Brookfield,Missouri,,,,,
Poplar Bluff Regional Medical Center,Poplar Bluff,Missouri,13,98,87,July 2011,June 2014
Mercy Hospital Aurora,Aurora,Missouri,,,,,
Hedrick Medical Center,Chillicothe,Missouri,,,,,
St. Anthony's Medical Center,Saint Louis,Missouri,,,,,
Liberty Hospital,Liberty,Missouri,,,,,
Capital Region Medical Center,Jefferson City,Missouri,,,,,
Southeast Hospital,Cape Girardeau,Missouri,,,,,
Freeman Neosho Hospital,Neosho,Missouri,,,,,
SSM Health Saint Louis University Hospital,Saint Louis,Missouri,,,,,
Saint Luke's East Hospital,Lee's Summit,Missouri,,,,,
Citizens Memorial Hospital,Bolivar,Missouri,,,,,
Mercy Hospital Cassville,Cassville,Missouri,,,,,
Ste. Genevieve County Memorial Hospital,Ste Genevieve,Missouri,,,,,
Northeast Regional Medical Center,Kirksville,Missouri,,,,,
Hermann Area District Hospital,Hermann,Missouri,,,,,
SSM St. Joseph Hospital West,Lake Saint Louis,Missouri,,,,,
Bates County Memorial Hospital,Butler,Missouri,,,,,
Saint Luke's Hospital of Kansas City,Kansas City,Missouri,,,,,
Barnes-Jewish Hospital,Saint Louis,Missouri,,,,,
Cooper County Memorial Hospital,Boonville,Missouri,,,,,
Harrison County Community Hospital,Bethany,Missouri,,,,,
SSM Health St. Mary's Hospital - Audrain,Mexico,Missouri,,,,,
Lake Regional Health System,Osage Beach,Missouri,,,,,
Boone Hospital Center,Columbia,Missouri,134,98,90,July 2011,June 2014
Sullivan County Memorial Hospital,Milan,Missouri,,,,,
Mercy Hospital Joplin,Joplin,Missouri,12,97,86,July 2011,June 2014
Christian Hospital,Saint Louis,Missouri,,,,,
Missouri Baptist Sullivan Hospital,Sullivan,Missouri,,,,,
SSM Health St. Francis Hospital - Maryville,Maryville,Missouri,,,,,
Carroll County Memorial Hospital,Carrollton,Missouri,,,,,
SSM St. Clare Health Center,Fenton,Missouri,,,,,
Perry County Memorial Hospital,Perryville,Missouri,,,,,
Windham Hospital,Willimantic,Connecticut,,,,,
Saint Mary's Hospital,Waterbury,Connecticut,,,,,
Danbury Hospital,Danbury,Connecticut,,,,,
Masonicare Health Center,Wallingford,Connecticut,,,,,
Norwalk Hospital,Norwalk,Connecticut,,,,,
Manchester Memorial Hospital,Manchester,Connecticut,,,,,
Saint Francis Hospital and Medical Center,Hartford,Connecticut,,,,,
Milford Hospital,Milford,Connecticut,,,,,
The Hospital at Hebrew Health Care,West Hartford,Connecticut,,,,,
Bristol Hospital,Bristol,Connecticut,,,,,
The Hospital of Central Connecticut,New Britain,Connecticut,,,,,
Hartford Hospital,Hartford,Connecticut,,,,,
Rockville General Hospital,Vernon,Connecticut,,,,,
The William W. Backus Hospital,Norwich,Connecticut,,,,,
"University of Connecticut Health Center, John Dempsey Hospital",Farmington,Connecticut,,,,,
St. Vincent's Medical Center,Bridgeport,Connecticut,,,,,
Stamford Hospital,Stamford,Connecticut,,,,,
Greenwich Hospital,Greenwich,Connecticut,,,,,
Yale-New Haven Hospital,New Haven,Connecticut,,,,,
Sharon Hospital,Sharon,Connecticut,,,,,
Day Kimball Hospital,Putnam,Connecticut,,,,,
The Charlotte Hungerford Hospital,Torrington,Connecticut,,,,,
Lawrence + Memorial Hospital,New London,Connecticut,,,,,
Griffin Hospital,Derby,Connecticut,,,,,
Waterbury Hospital,Waterbury,Connecticut,,,,,
Johnson Memorial Medical Center,Stafford Springs,Connecticut,,,,,
MidState Medical Center,Meriden,Connecticut,,,,,
Middlesex Hospital,Middletown,Connecticut,,,,,
Bridgeport Hospital,Bridgeport,Connecticut,,,,,
Copley Hospital,Morrisville,Vermont,,,,,
Brattleboro Memorial Hospital,Brattleboro,Vermont,,,,,
Gifford Medical Center,Randolph,Vermont,,,,,
Grace Cottage Hospital,Townshend,Vermont,,,,,
Rutland Regional Medical Center,Rutland,Vermont,,,,,
North Country Hospital and Health Center,Newport,Vermont,,,,,
The University of Vermont Health Network University of Vermont Medical Center,Burlington,Vermont,,,,,
Southwestern Vermont Medical Center,Bennington,Vermont,,,,,
Northeastern Vermont Regional Hospital,Saint Johnsbury,Vermont,,,,,
Springfield Hospital,Springfield,Vermont,,,,,
Northwestern Medical Center,Saint Albans,Vermont,,,,,
Porter Medical Center,Middlebury,Vermont,,,,,
The University of Vermont Health Network Central Vermont Medical Center,Berlin,Vermont,,,,,
Mt. Ascutney Hospital and Health Center,Windsor,Vermont,,,,,
Ephraim McDowell Regional Medical Center,Danville,Kentucky,,,,,
Jane Todd Crawford Hospital,Greensburg,Kentucky,,,,,
Meadowview Regional Medical Center,Maysville,Kentucky,,,,,
Three Rivers Medical Center,Louisa,Kentucky,,,,,
Caverna Memorial Hospital,Horse Cave,Kentucky,,,,,
Saint Joseph - Martin,Martin,Kentucky,,,,,
Cumberland County Hospital,Burkesville,Kentucky,,,,,
Owensboro Health Regional Hospital,Owensboro,Kentucky,,,,,
Baptist Health Paducah,Paducah,Kentucky,,,,,
Saint Joseph Berea,Berea,Kentucky,,,,,
James B. Haggin Memorial Hospital,Harrodsburg,Kentucky,,,,,
Baptist Health La Grange,La Grange,Kentucky,,,,,
Owensboro Health Muhlenberg Community Hospital,Greenville,Kentucky,,,,,
St. Elizabeth Edgewood,Edgewood,Kentucky,,,,,
St. Elizabeth Florence,Florence,Kentucky,,,,,
Baptist Health Madisonville,Madisonville,Kentucky,,,,,
Lourdes Hospital,Paducah,Kentucky,26,97,87,July 2011,June 2014
Medical Center at Bowling Green,Bowling Green,Kentucky,52,96,90,July 2011,June 2014
TriStar Greenview Regional Hospital,Bowling Green,Kentucky,,,,,
Taylor Regional Hospital,Campbellsville,Kentucky,,,,,
Harrison Memorial Hospital,Cynthiana,Kentucky,,,,,
Medical Center at Scottsville,Scottsville,Kentucky,,,,,
Methodist Hospital,Henderson,Kentucky,,,,,
Clark Regional Medical Center,Winchester,Kentucky,,,,,
Baptist Health Lexington,Lexington,Kentucky,,,,,
T. J. Samson Community Hospital,Glasgow,Kentucky,,,,,
Norton Hospital,Louisville,Kentucky,39,98,86,July 2011,June 2014
University of Louisville Hospital,Louisville,Kentucky,,,,,
Lake Cumberland Regional Hospital,Somerset,Kentucky,,,,,
Medical Center at Franklin,Franklin,Kentucky,,,,,
Russell County Hospital,Russell Springs,Kentucky,,,,,
Paul B. Hall Regional Medical Center,Paintsville,Kentucky,,,,,
Hazard ARH Regional Medical Center,Hazard,Kentucky,,,,,
St. Elizabeth Fort Thomas,Fort Thomas,Kentucky,,,,,
Caldwell Medical Center,Princeton,Kentucky,,,,,
Whitesburg ARH Hospital,Whitesburg,Kentucky,,,,,
Methodist Hospital Union County,Morganfield,Kentucky,,,,,
Jewish Hospital,Louisville,Kentucky,161,97,80,July 2011,June 2014
Pineville Community Hospital Association,Pineville,Kentucky,,,,,
Manchester Memorial Hospital,Manchester,Kentucky,,,,,
Crittenden County Hospital,Marion,Kentucky,,,,,
Clinton County Hospital,Albany,Kentucky,,,,,
McDowell ARH Hospital,McDowell,Kentucky,,,,,
Tug Valley ARH Regional Medical Center,South Williamson,Kentucky,,,,,
Bluegrass Community Hospital,Versailles,Kentucky,,,,,
Twin Lakes Regional Medical Center,Leitchfield,Kentucky,,,,,
Westlake Regional Hospital,Columbia,Kentucky,,,,,
Rockcastle Regional Hospital and Respiratory Care Center,Mount Vernon,Kentucky,,,,,
Breckinridge Memorial Hospital,Hardinsburg,Kentucky,,,,,
Norton Audubon Hospital,Louisville,Kentucky,58,98,85,July 2011,June 2014
St. Claire Regional Medical Center,Morehead,Kentucky,,,,,
Jennie Stuart Medical Center,Hopkinsville,Kentucky,,,,,
Livingston Hospital and Healthcare Services,Salem,Kentucky,,,,,
Saint Joseph East,Lexington,Kentucky,,,,,
Georgetown Community Hospital,Georgetown,Kentucky,,,,,
Jewish Hospital-Shelbyville,Shelbyville,Kentucky,,,,,
Saint Joseph - London,London,Kentucky,,,,,
Casey County Hospital,Liberty,Kentucky,,,,,
Marshall County Hospital,Benton,Kentucky,,,,,
Our Lady of Bellefonte Hospital,Ashland,Kentucky,,,,,
Bourbon Community Hospital,Paris,Kentucky,,,,,
Highlands Regional Medical Center,Prestonsburg,Kentucky,,,,,
Murray-Calloway County Hospital,Murray,Kentucky,,,,,
Marcum and Wallace Memorial Hospital,Irvine,Kentucky,,,,,
Knox County Hospital,Barbourville,Kentucky,,,,,
University of Kentucky Albert B. Chandler Hospital,Lexington,Kentucky,65,97,87,July 2011,June 2014
Carroll County Memorial Hospital,Carrollton,Kentucky,,,,,
New Horizons Health Systems,Owenton,Kentucky,,,,,
Norton Women's and Kosair Children's Hospital,Louisville,Kentucky,,,,,
Spring View Hospital,Lebanon,Kentucky,,,,,
Wayne County Hospital,Monticello,Kentucky,,,,,
Mary Breckinridge ARH Hospital,Hyden,Kentucky,,,,,
King's Daughters Medical Center,Ashland,Kentucky,73,98,91,July 2011,June 2014
Flaget Memorial Hospital,Bardstown,Kentucky,,,,,
Morgan County ARH Hospital,West Liberty,Kentucky,,,,,
Baptist Health Corbin,Corbin,Kentucky,,,,,
Harlan ARH Hospital,Harlan,Kentucky,,,,,
Pikeville Medical Center,Pikeville,Kentucky,,,,,
St. Elizabeth Grant,Williamstown,Kentucky,,,,,
Jackson Purchase Medical Center,Mayfield,Kentucky,,,,,
Ephraim McDowell Fort Logan Hospital,Stanford,Kentucky,,,,,
Baptist Health Richmond,Richmond,Kentucky,,,,,
Saint Joseph Hospital,Lexington,Kentucky,,,,,
Baptist Health Louisville,Louisville,Kentucky,,,,,
Saint Joseph Mount Sterling,Mount Sterling,Kentucky,,,,,
Logan Memorial Hospital,Russellville,Kentucky,,,,,
Frankfort Regional Medical Center,Frankfort,Kentucky,,,,,
Kentucky River Medical Center,Jackson,Kentucky,,,,,
Middlesboro ARH Hospital,Middlesboro,Kentucky,,,,,
Trigg County Hospital,Cadiz,Kentucky,,,,,
Ohio County Hospital,Hartford,Kentucky,,,,,
Fleming County Hospital,Flemingsburg,Kentucky,,,,,
Hardin Memorial Hospital,Elizabethtown,Kentucky,,,,,
Monroe County Medical Center,Tompkinsville,Kentucky,,,,,
Shoshone Medical Center,Kellogg,Idaho,,,,,
Mountain View Hospital,Idaho Falls,Idaho,,,,,
Kootenai Health,Coeur D'Alene,Idaho,,,,,
Cassia Regional Medical Center,Burley,Idaho,,,,,
Bingham Memorial Hospital,Blackfoot,Idaho,,,,,
Madison Memorial Hospital,Rexburg,Idaho,,,,,
Minidoka Memorial Hospital,Rupert,Idaho,,,,,
Caribou Memorial Hospital and Living Center,Soda Springs,Idaho,,,,,
North Canyon Medical Center,Gooding,Idaho,,,,,
Benewah Community Hospital,Saint Maries,Idaho,,,,,
Bonner General Hospital,Sandpoint,Idaho,,,,,
Lost Rivers Medical Center,Arco,Idaho,,,,,
Boundary Community Hospital,Bonners Ferry,Idaho,,,,,
Franklin County Medical Center,Preston,Idaho,,,,,
Treasure Valley Hospital,Boise,Idaho,,,,,
Northwest Specialty Hospital,Post Falls,Idaho,,,,,
Gritman Medical Center,Moscow,Idaho,,,,,
St. Luke's Elmore,Mountain Home,Idaho,,,,,
West Valley Medical Center,Caldwell,Idaho,,,,,
Saint Alphonsus Regional Medical Center,Boise,Idaho,66,98,86,July 2011,June 2014
St. Joseph Regional Medical Center,Lewiston,Idaho,,,,,
Portneuf Medical Center,Pocatello,Idaho,53,98,89,July 2011,June 2014
St. Luke's Regional Medical Center,Boise,Idaho,191,98,91,July 2011,June 2014
Mountain River Birthing and Surgery Center,Blackfoot,Idaho,,,,,
St. Luke's Wood River Medical Center,Ketchum,Idaho,,,,,
Valor Health,Emmett,Idaho,,,,,
Saint Alphonsus Medical Center - Nampa,Nampa,Idaho,,,,,
Bear Lake Memorial Hospital,Montpelier,Idaho,,,,,
Steele Memorial Medical Center,Salmon,Idaho,,,,,
Weiser Memorial Hospital,Weiser,Idaho,,,,,
Teton Valley Health Care,Driggs,Idaho,,,,,
St. Mary's Hospital,Cottonwood,Idaho,,,,,
St. Luke's Magic Valley Medical Center,Twin Falls,Idaho,,,,,
Clearwater Valley Hospital and Clinics,Orofino,Idaho,,,,,
Syringa Hospital and Clinics,Grangeville,Idaho,,,,,
St. Luke's Jerome,Jerome,Idaho,,,,,
Eastern Idaho Regional Medical Center,Idaho Falls,Idaho,,,,,
Nell J. Redfield Memorial Hospital,Malad City,Idaho,,,,,
Essentia Health Duluth,Duluth,Minnesota,,,,,
"University of Minnesota Medical Center, Fairview",Minneapolis,Minnesota,,,,,
Mayo Clinic Health System in Fairmont,Fairmont,Minnesota,,,,,
Saint Elizabeth's Medical Center,Wabasha,Minnesota,,,,,
Olmsted Medical Center,Rochester,Minnesota,,,,,
Riverwood Healthcare Center,Aitkin,Minnesota,,,,,
Mayo Clinic Hospital - Rochester,Rochester,Minnesota,,,,,
Mayo Clinic Health System in Red Wing,Red Wing,Minnesota,,,,,
Mercy Hospital,Coon Rapids,Minnesota,103,98,85,July 2011,June 2014
Johnson Memorial Health Services,Dawson,Minnesota,,,,,
Glacial Ridge Health System,Glenwood,Minnesota,,,,,
Fairview Ridges Hospital,Burnsville,Minnesota,,,,,
CHI St. Francis Health,Breckenridge,Minnesota,,,,,
Park Nicollet Methodist Hospital,Saint Louis Park,Minnesota,103,98,83,July 2011,June 2014
Lake View Memorial Hospital,Two Harbors,Minnesota,,,,,
Kittson Memorial Healthcare Center,Hallock,Minnesota,,,,,
CHI St. Joseph's Health,Park Rapids,Minnesota,,,,,
United Hospital,Saint Paul,Minnesota,111,98,89,July 2011,June 2014
LifeCare Medical Center,Roseau,Minnesota,,,,,
Essentia Health St. Joseph's Medical Center,Brainerd,Minnesota,,,,,
Appleton Area Health Services,Appleton,Minnesota,,,,,
Bigfork Valley Hospital,Bigfork,Minnesota,,,,,
St. Cloud Hospital,Saint Cloud,Minnesota,112,98,92,July 2011,June 2014
Mercy Hospital,Moose Lake,Minnesota,,,,,
Cuyuna Regional Medical Center,Crosby,Minnesota,,,,,
Mahnomen Health Center,Mahnomen,Minnesota,,,,,
Mayo Clinic Health System in New Prague,New Prague,Minnesota,,,,,
Rice Memorial Hospital,Willmar,Minnesota,,,,,
North Valley Health Center,Warren,Minnesota,,,,,
Mayo Clinic Health System in Waseca,Waseca,Minnesota,,,,,
Sanford Thief River Falls Medical Center,Thief River Falls,Minnesota,,,,,
Sanford Bagley Medical Center,Bagley,Minnesota,,,,,
Essentia Health Northern Pines Medical Center,Aurora,Minnesota,,,,,
Sanford Wheaton Medical Center,Wheaton,Minnesota,,,,,
Community Memorial Hospital,Cloquet,Minnesota,,,,,
Ely-Bloomenson Community Hospital,Ely,Minnesota,,,,,
Fairview Northland Medical Center,Princeton,Minnesota,,,,,
Essentia Health Fosston,Fosston,Minnesota,,,,,
Essentia Health-Deer River,Deer River,Minnesota,,,,,
Rainy Lake Medical Center,International Falls,Minnesota,,,,,
Sanford Canby Medical Center,Canby,Minnesota,,,,,
Essentia Health St. Mary's - Detroit Lakes,Detroit Lakes,Minnesota,,,,,
Sleepy Eye Medical Center,Sleepy Eye,Minnesota,,,,,
Range Regional Health Services,Hibbing,Minnesota,,,,,
Mayo Clinic Health System in Cannon Falls,Cannon Falls,Minnesota,,,,,
River's Edge Hospital and Clinic,Saint Peter,Minnesota,,,,,
St. Luke's Hospital,Duluth,Minnesota,,,,,
Madison Hospital,Madison,Minnesota,,,,,
Hutchinson Health,Hutchinson,Minnesota,,,,,
Chippewa County-Montevideo Hospital,Montevideo,Minnesota,,,,,
Redwood Area Hospital,Redwood Falls,Minnesota,,,,,
CentraCare Health-Monticello,Monticello,Minnesota,,,,,
St. Joseph's Hospital,Saint Paul,Minnesota,107,96,85,July 2011,June 2014
St. Francis Regional Medical Center,Shakopee,Minnesota,,,,,
Mayo Clinic Health System in Saint James,Saint James,Minnesota,,,,,
Hennepin County Medical Center,Minneapolis,Minnesota,21,97,82,July 2011,June 2014
Prairie Ridge Hospital and Health Services,Elbow Lake,Minnesota,,,,,
Sanford Tracy Medical Center,Tracy,Minnesota,,,,,
RC Hospital and Clinics,Olivia,Minnesota,,,,,
Essentia Health-Virginia,Virginia,Minnesota,,,,,
Mille Lacs Health System,Onamia,Minnesota,,,,,
Buffalo Hospital,Buffalo,Minnesota,,,,,
Mayo Clinic Health System in Mankato,Mankato,Minnesota,,,,,
Mayo Clinic Health System in Albert Lea,Albert Lea,Minnesota,,,,,
Meeker Memorial Hospital,Litchfield,Minnesota,,,,,
Fairview Lakes Health Services,Wyoming,Minnesota,,,,,
CentraCare Health-Melrose,Melrose,Minnesota,,,,,
Sanford Westbrook Medical Center,Westbrook,Minnesota,,,,,
Mayo Clinic Health System in Springfield,Springfield,Minnesota,,,,,
Tri-County Hospital,Wadena,Minnesota,,,,,
Glencoe Regional Health Services,Glencoe,Minnesota,,,,,
CentraCare Health-Long Prairie,Long Prairie,Minnesota,,,,,
Regina Hospital,Hastings,Minnesota,,,,,
Cambridge Medical Center,Cambridge,Minnesota,,,,,
Phillips Eye Institute,Minneapolis,Minnesota,,,,,
Regions Hospital,Saint Paul,Minnesota,125,97,84,July 2011,June 2014
North Memorial Medical Center,Robbinsdale,Minnesota,64,98,84,July 2011,June 2014
Lakewood Health System,Staples,Minnesota,,,,,
Maple Grove Hospital,Maple Grove,Minnesota,,,,,
CentraCare Health-Sauk Centre,Sauk Centre,Minnesota,,,,,
Cook Hospital and Convalescent Nursing Care Unit,Cook,Minnesota,,,,,
Granite Falls Municipal Hospital and Manor,Granite Falls,Minnesota,,,,,
